ID;DATUM;TYZDEN;1;2;3;4;5;6;7;;
1;7.9.1986;36;1;12;20;22;24;27;40;;
2;14.9.1986;37;9;10;20;25;30;32;36;;
3;21.9.1986;38;6;7;8;16;24;30;33;;
4;28.9.1986;39;1;10;11;36;38;40;41;;
5;5.10.1986;40;13;14;15;27;28;31;35;;
6;12.10.1986;41;4;9;13;22;25;30;39;;
7;19.10.1986;42;14;15;17;22;38;43;45;;
8;26.10.1986;43;1;2;8;11;26;30;41;;
9;2.11.1986;44;6;12;14;16;28;31;45;;
10;9.11.1986;45;5;14;25;30;33;35;38;;
11;16.11.1986;46;5;14;20;22;33;34;39;;
12;23.11.1986;47;8;27;29;35;38;39;44;;
13;30.11.1986;48;4;19;21;31;35;36;45;;
14;7.12.1986;49;2;7;17;19;29;38;41;;
15;14.12.1986;50;17;20;27;33;36;38;39;;
16;15.21.1986;51;2;13;30;33;37;39;41;;
17;1.1.1987;1;1;7;13;14;32;34;44;;
18;11.1.1987;2;7;11;19;26;28;29;33;;
19;18.1.1987;3;2;15;19;28;29;33;42;;
20;25.1.1987;4;1;5;10;16;33;41;43;;
21;1.2.1987;5;4;16;21;35;38;39;45;;
22;8.2.1987;6;12;17;24;28;29;30;33;;
23;15.2.1987;7;2;6;10;23;28;31;41;;
24;22.2.1987;8;3;7;12;16;17;36;44;;
25;1.3.1987;9;11;18;19;24;26;30;42;;
26;8.3.1987;10;1;5;18;24;36;38;42;;
27;15.3.1987;11;4;14;19;23;27;29;34;;
28;22.3.1987;12;3;6;7;13;24;31;44;;
29;29.3.1987;13;3;4;10;21;28;33;44;;
30;5.4.1987;14;5;6;9;14;21;24;44;;
31;12.4.1987;15;3;20;23;26;27;31;40;;
32;19.4.1987;16;3;4;6;18;20;40;42;;
33;26.4.1987;17;5;16;25;28;30;35;36;;
34;3.5.1987;18;21;24;29;32;35;39;43;;
35;10.5.1987;19;10;12;13;14;19;35;40;;
36;17.5.1987;20;32;33;35;39;41;43;45;;
37;24.5.1987;21;3;15;16;17;36;39;42;;
38;31.5.1987;22;8;10;14;26;30;35;41;;
39;7.6.1987;23;8;11;23;24;25;28;32;;
40;14.6.1987;24;1;15;18;30;37;40;43;;
41;21.6.1987;25;3;11;12;16;19;34;42;;
42;28.6.1987;26;10;17;27;30;37;40;45;;
43;5.7.1987;27;5;8;13;15;22;33;36;;
44;12.7.1987;28;2;3;8;17;27;29;44;;
45;19.7.1987;29;1;22;27;28;36;39;43;;
46;26.7.1987;30;8;15;20;25;26;33;41;;
47;2.8.1987;31;4;7;20;28;29;38;43;;
48;9.8.1987;32;3;10;14;20;27;29;45;;
49;16.8.1987;33;3;5;10;12;16;28;37;;
50;23.8.1987;34;5;7;10;22;30;39;43;;
51;30.8.1987;35;8;10;24;30;35;39;43;;
52;6.9.1987;36;8;17;26;33;37;38;39;;
53;13.9.1987;37;9;24;25;26;37;38;45;;
54;20.9.1987;38;4;17;22;26;36;37;39;;
55;27.9.1987;39;3;4;6;10;11;24;36;;
56;4.10.1987;40;7;10;11;33;35;36;41;;
57;11.10.1987;41;2;5;14;20;22;23;31;;
58;18.10.1987;42;21;22;29;30;34;35;42;;
59;25.10.1987;43;20;21;29;32;33;35;43;;
60;1.11.1987;44;15;18;25;26;28;39;44;;
61;8.11.1987;45;5;13;16;22;23;39;41;;
62;15.11.1987;46;14;25;28;29;30;37;41;;
63;22.11.1987;47;7;16;17;20;29;39;45;;
64;29.11.1987;48;4;5;14;17;33;37;39;;
65;6.12.1987;49;10;13;17;25;26;31;38;;
66;13.12.1987;50;4;15;18;19;23;26;31;;
67;20.12.1987;51;3;15;19;24;25;27;29;;
68;27.12.1987;52;9;17;26;32;33;34;35;;
69;3.1.1988;53;8;10;21;27;28;42;45;;
70;10.1.1988;1;7;12;18;22;30;34;40;;
71;17.1.1988;2;1;3;5;22;23;37;42;;
72;24.1.1988;3;1;14;16;21;24;29;34;;
73;31.1.1988;4;5;12;20;25;36;40;41;;
74;7.2.1988;5;9;18;29;31;35;37;41;;
75;14.2.1988;6;1;10;18;19;28;35;45;;
76;21.2.1988;7;13;17;20;30;36;38;42;;
77;28.2.1988;8;4;7;17;18;28;31;37;;
78;6.3.1988;9;4;12;24;25;31;36;37;;
79;13.3.1988;10;3;20;26;33;35;36;37;;
80;20.3.1988;11;1;3;19;21;29;31;44;;
81;27.3.1988;12;2;8;22;23;29;30;31;;
82;3.4.1988;13;3;4;9;12;14;31;44;;
83;10.4.1988;14;1;2;8;13;15;21;23;;
84;17.4.1988;15;3;20;26;27;28;41;42;;
85;24.4.1988;16;4;15;22;26;28;30;35;;
86;1.5.1988;17;12;22;26;30;35;37;45;;
87;8.5.1988;18;13;16;20;31;32;40;42;;
88;15.5.1988;19;4;24;27;32;33;35;41;;
89;22.5.1988;20;7;16;17;26;29;36;41;;
90;29.5.1988;21;8;12;15;20;30;33;38;;
91;5.6.1988;22;4;7;10;19;20;31;43;;
92;12.6.1988;23;2;14;15;25;26;32;39;;
93;19.6.1988;24;2;4;7;10;21;27;28;;
94;26.6.1988;25;9;15;25;34;41;44;45;;
95;3.7.1988;26;10;15;16;18;28;37;40;;
96;10.7.1988;27;2;7;10;11;27;32;43;;
97;17.7.1988;28;5;10;14;20;29;34;37;;
98;24.7.1988;29;2;12;14;27;35;41;43;;
99;31.7.1988;30;9;11;21;23;34;42;43;;
100;7.8.1988;31;1;4;11;32;33;34;42;;
101;14.8.1988;32;4;9;10;16;18;32;39;;
102;21.8.1988;33;12;17;24;26;37;42;43;;
103;28.8.1988;34;3;22;23;28;34;35;45;;
104;4.9.1988;35;3;6;22;38;39;42;43;;
105;11.9.1988;36;2;3;9;12;16;22;41;;
106;18.9.1988;37;1;9;25;27;36;39;43;;
107;25.9.1988;38;4;9;15;23;26;32;35;;
108;2.10.1988;39;2;6;8;12;24;25;30;;
109;9.10.1988;40;2;3;12;25;26;32;36;;
110;16.10.1988;41;7;9;11;19;21;22;30;;
111;23.10.1988;42;15;19;26;39;43;44;45;;
112;30.10.1988;43;8;16;31;32;34;37;43;;
113;6.11.1988;44;8;16;22;32;37;38;42;;
114;13.11.1988;45;2;3;9;23;32;34;35;;
115;20.11.1988;46;2;18;24;26;31;32;42;;
116;27.11.1988;47;1;2;5;6;21;37;39;;
117;4.12.1988;48;7;15;24;26;32;37;40;;
118;11.12.1988;49;2;21;24;35;41;43;44;;
119;18.12.1988;50;2;5;27;31;36;38;41;;
120;25.12.1988;51;10;25;33;35;36;39;42;;
121;1.1.1989;52;7;11;18;22;23;24;40;;
122;8.1.1989;1;10;16;17;27;30;36;39;;
123;15.1.1989;2;9;10;19;23;27;30;43;;
124;22.1.1989;3;6;14;18;21;38;43;45;;
125;29.1.1989;4;1;6;16;20;28;37;38;;
126;5.2.1989;5;13;15;16;19;26;30;44;;
127;12.2.1989;6;4;16;20;27;32;36;37;;
128;19.2.1989;7;1;3;5;12;23;27;40;;
129;26.2.1989;8;2;5;8;11;28;40;44;;
130;5.3.1989;9;3;17;18;20;34;37;39;;
131;12.3.1989;10;4;8;13;26;33;35;41;;
132;19.3.1989;11;13;18;26;28;36;38;42;;
133;26.3.1989;12;7;13;17;23;28;36;43;;
134;2.4.1989;13;3;4;8;9;29;30;34;;
135;9.4.1989;14;6;8;9;22;23;38;43;;
136;16.4.1989;15;6;12;14;15;16;27;43;;
137;23.4.1989;16;10;15;20;24;33;44;45;;
138;30.4.1989;17;13;28;33;35;36;38;45;;
139;7.5.1989;18;6;9;13;17;20;22;44;;
140;14.5.1989;19;2;4;5;9;12;16;31;;
141;21.5.1989;20;2;12;14;16;26;28;40;;
142;28.5.1989;21;2;4;6;12;16;17;28;;
143;4.6.1989;22;14;16;22;26;31;33;39;;
144;11.6.1989;23;4;18;21;25;31;39;40;;
145;18.6.1989;24;9;12;18;21;32;33;45;;
146;25.6.1989;25;7;17;19;23;30;37;38;;
